gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
980651797	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249366701	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		AR	PP Cruce Caballero (AICA MI25)	Misiones	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-26.520718	-53.981667							2006-11-29	29	11	2006	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS249366701				CC_BY_4_0		obsr123284			2024-01-24T21:32:44.549Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980651282	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249366122	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		AR	Reserva de Biosfera Yabotí (AICA MI15)	Misiones	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-27.022333	-54.039333							2006-12-01	1	12	2006	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS249366122				CC_BY_4_0		obsr123284			2024-01-24T21:34:10.188Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980651051	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249366559	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		AR	PP Piñalito y alrededores (AICA MI14)	Misiones	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-26.425583	-53.8405							2006-11-30	30	11	2006	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS249366559				CC_BY_4_0		obsr123284			2024-01-24T20:27:09.131Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980649555	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS249366809	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		AR	PP Cruce Caballero (AICA MI25)	Misiones	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	-26.520718	-53.981667							2006-11-28	28	11	2006	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS249366809				CC_BY_4_0		obsr123284			2024-01-24T20:27:09.151Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980456243	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS247229281	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		BR	PE Intervales	São Paulo	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-24.312246	-48.2985							2012-09-15	15	9	2012	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS247229281				CC_BY_4_0		obsr195749			2024-01-24T20:27:05.985Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980289817	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ARG:OBS245004030	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		AR	PN Iguazú	Misiones	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-25.700474	-54.44571							2008-06-16	16	6	2008	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD_ARG	OBS245004030				CC_BY_4_0		obsr433235			2024-01-24T20:27:02.176Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980282425	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS247117731	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		BR	PE Carlos Botelho	São Paulo	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-24.136728	-47.977295							2008-04-06	6	4	2008	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS247117731				CC_BY_4_0		obsr412230			2024-01-24T21:10:22.635Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980272803	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_CAN:OBS247189179	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		BR	PE Intervales	São Paulo	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-24.312246	-48.2985							2008-04-07	7	4	2008	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD_CAN	OBS247189179				CC_BY_4_0		obsr412230			2024-01-24T21:09:45.994Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979659649	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS240696554	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		AR	PN Iguazú (AICA MI01)--Área Cataratas	Misiones	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-25.683304	-54.455452							1997-06-07	7	6	1997	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS240696554				CC_BY_4_0		obsr194141			2024-01-24T20:26:55.886Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979644013	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS240091884	Animalia	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos dicolorus		SPECIES	Ramphastos dicolorus Linnaeus, 1766	Ramphastos dicolorus		BR	PN do Itatiaia--Parte Baixa (Hotéis Ype, Donati, Simon; 400-800m)	Rio de Janeiro	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.444906	-44.61104							2003-09-20	20	9	2003	2478770	2478770	HUMAN_OBSERVATION	CLO	EBIRD	OBS240091884				CC_BY_4_0		obsr437205			2024-01-24T20:26:54.757Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
