"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.030833,-49.086667,182,26,6,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.088889,-53.415,341,9,3,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.504722,-49.077778,382,24,4,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.537222,-43.426389,884,3,8,2016,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.75,-49.1,1105,26,6,2013,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.5,-42.25,NA,4,7,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.965556,-43.179444,NA,23,10,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.484167,-43.522778,630,27,11,2016,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.314722,-49.351944,NA,28,1,2020,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.54,-49.049722,835,27,1,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.08,-48.69,147,28,4,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.066667,-49.966667,276,5,5,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.859444,-44.025278,NA,6,8,2013,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.508056,-44.0925,378,1,2,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.333333,-44.538055,NA,17,4,2018,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.120556,-50.827778,NA,21,1,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.098055,-50.874444,NA,3,9,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.556111,-52.411111,311,22,9,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-21.882778,-41.926944,1000,6,9,2012,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.367778,-42.771111,1290,10,11,2016,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-34.601722,-58.384895,NA,1,7,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.530168,-57.174951,NA,27,8,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.089455,-48.98439,NA,13,3,2024,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-34.580527,-58.41842,NA,14,3,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.147295,-56.490439,NA,10,2,2023,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.883056,-48.574444,4,NA,NA,NA,5571838
