"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.968333,-47.895278,NA,8,8,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.9925,-47.894722,NA,12,7,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.973611,-47.910278,NA,19,7,1989,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.650278,-57.213333,NA,23,2,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.516667,-48.1,NA,10,8,1995,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-10.396944,-50.424444,190,21,3,1999,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-14.138889,-47.768889,NA,12,9,1996,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.076279,-65.66185,NA,1,11,1973,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.18,-49.86,NA,5,9,2016,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.992778,-43.650833,NA,13,5,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.289167,-42.868889,898,25,8,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-21.216667,-47.833333,581,30,4,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.233611,-49.051389,NA,15,7,2017,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.576111,-43.464444,704,13,11,2001,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.298055,-42.890833,900,18,6,2004,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.1,-46.266667,NA,29,6,2016,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.4075,-43.665833,NA,24,9,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.310556,-43.6125,958,31,5,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.345685,-48.876208,NA,22,11,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-32.7657,-53.309942,NA,9,1,2024,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.630141,-41.604648,438,10,6,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.930833,-52.075833,900,13,3,1967,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-16.956944,-51.810278,800,27,6,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-17.998889,-43.681111,975,23,3,1970,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-10.793611,-49.623333,NA,14,6,1979,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.654444,-46.621944,NA,13,10,1931,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.903889,-49.128333,400,2,4,1953,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.779722,-47.929444,NA,20,4,1979,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-18.579167,-46.518056,NA,12,9,1963,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.654444,-46.621944,NA,19,5,1977,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.251111,-49.705556,NA,10,5,1914,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.616667,-47.666667,1025,21,7,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.834722,-49.0775,NA,20,2,2011,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.816111,-50.325833,950,12,2,1957,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.23,-49.68,NA,17,8,1996,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-17.127778,-51.816667,840,29,4,1973,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.783333,-47.683333,950,13,5,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-32.813508,-53.397186,NA,3,3,2024,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.41666,-57.16666,NA,23,9,1987,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26,-56.83333,150,1,10,1985,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.8998,-56.1515,NA,12,11,1988,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-14.83333,-66.5,25,2,9,1991,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.92972,-64.22027,1679,26,12,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.5,-57.25,NA,15,5,1984,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.426944,-47.645278,1000,22,7,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.88333,-64.25,1475,30,4,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.4481,-49.2404,920,24,4,2014,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.3276,-49.5084,NA,17,5,2014,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.2336,-49.0513,890,15,7,2017,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.17237,-50.3524,762,1,6,2006,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.9073,-50.7396,NA,1,1,1996,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.3755,-49.0992,919,23,8,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.9073,-50.7396,NA,14,11,1986,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.6423,-54.4406,200,1,7,1980,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.3619,-49.2619,NA,13,3,1980,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.3725,-49.034,940,22,11,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.4893,-54.0415,231,1,8,2004,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.556617,-49.234778,NA,11,3,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.723,-52.0194,700,12,3,1996,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.1714,-49.6599,NA,25,7,1996,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.548,-46.721742,733.31,2,11,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.32843,-51.021012,582.9,15,6,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.596568,-46.632849,797.33,23,11,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.760556,-52.125833,824,28,9,2017,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.072778,-49.624722,560,27,6,2017,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.129444,-49.949556,468,2,6,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.944944,-51.833028,890,23,9,2020,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.370167,-51.951056,606,26,5,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.098556,-52.306111,510,10,7,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-21.16625,-45.638467,887,30,7,2006,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-23.774111,-49.93975,514,20,10,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.233611,-49.051389,890,15,7,2017,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.771722,-52.135528,641,28,8,2015,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.026389,-51.297778,644,18,10,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.595389,-54.389444,186,5,6,2015,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.909722,-49.863056,587,1,6,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.091972,-51.757528,1027,18,2,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.609889,-53.016639,390,2,5,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.055139,-51.561194,1027,16,4,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-25.307778,-49.033333,893,10,8,2019,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.850528,-51.892472,1040,11,8,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.852472,-51.892694,1035,11,8,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.228333,-51.657778,NA,7,11,2014,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-24.375111,-51.961028,562,17,8,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-18.846667,-63.858889,1900,7,4,2011,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-16.216667,-66.4,1385,29,8,2003,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.75333,-63.87666,1239,20,10,2005,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.526028,-63.914472,967,5,6,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.730278,-63.915556,1276,11,10,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-26.08333,-56.85,NA,15,6,1985,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.891611,-43.915972,815,19,4,2007,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.144444,-48.146111,0,NA,9,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.142778,-45.711111,650,31,7,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.013889,-43.670833,1483,24,1,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.945278,-43.911389,1015,26,5,2014,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.001111,-43.497222,899,11,9,2011,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.827222,-44.046389,847,29,3,2009,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-19.431861,-43.432861,0,13,3,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-27.450833,-50.761667,846,27,2,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-20.142778,-45.711111,650,20,4,2019,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-14.746389,-49.609722,798,16,2,2021,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.33,-52.23,500,14,6,1966,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.7834208,-47.9298727,NA,20,4,1979,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-29.700556,-53.782778,NA,11,1,2022,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.726389,-47.944167,NA,14,10,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-7.003611,-47.570278,140,19,4,2008,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-17.0925,-51.743333,NA,21,5,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.742222,-48.149722,NA,3,10,2013,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-15.7425,-48.149722,NA,9,9,2013,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-1.771111,-48.494722,500,25,4,1997,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-22.447222,-44.610833,869,20,11,2010,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-18.36,-53.46,NA,13,9,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-17.459722,-48.06,NA,30,7,2018,3784297
"Cupania","Cupania vernalis","Cupania vernalis Cambess.",-1.591944,-48.033333,1080,6,8,1997,3784297
