"species"	"decimalLongitude"	"decimalLatitude"
"107"	"Ramphastos dicolorus"	-48.2985	-24.312246
"108"	"Ramphastos dicolorus"	-54.2171	-26.86841
"109"	"Ramphastos dicolorus"	-54.2645	-26.689777
"110"	"Ramphastos dicolorus"	-44.624233	-22.406586
"111"	"Ramphastos dicolorus"	-40.98999	-20.496492
"112"	"Ramphastos dicolorus"	-54.2645	-26.689777
"113"	"Ramphastos dicolorus"	-54.2645	-26.689777
"114"	"Ramphastos dicolorus"	-54.823494	-25.02495
"115"	"Ramphastos dicolorus"	-53.76014	-26.050922
"116"	"Ramphastos dicolorus"	-53.79902	-26.028404
"117"	"Ramphastos dicolorus"	-48.410725	-24.21524
"118"	"Ramphastos dicolorus"	-53.86636	-27.140377
"119"	"Ramphastos dicolorus"	-54.168785	-25.857317
"120"	"Ramphastos dicolorus"	-44.756813	-22.373522
"121"	"Ramphastos dicolorus"	-44.61104	-22.444906
"122"	"Ramphastos dicolorus"	-44.61104	-22.444906
"123"	"Ramphastos dicolorus"	-44.61104	-22.444906
"124"	"Ramphastos dicolorus"	-48.2985	-24.312246
"125"	"Ramphastos dicolorus"	-54.455452	-25.683304
"126"	"Ramphastos dicolorus"	-45.064102	-23.397234
"127"	"Ramphastos dicolorus"	-45.292625	-23.263105
"128"	"Ramphastos dicolorus"	-54.826324	-25.025106
"129"	"Ramphastos dicolorus"	-44.624233	-22.406586
"130"	"Ramphastos dicolorus"	-44.624233	-22.406586
"131"	"Ramphastos dicolorus"	-44.624233	-22.406586
"132"	"Ramphastos dicolorus"	-54.438286	-25.642454
"133"	"Ramphastos dicolorus"	-50.562775	-29.444382
"134"	"Ramphastos dicolorus"	-54.439857	-25.686123
"135"	"Ramphastos dicolorus"	-54.438286	-25.642454
"136"	"Ramphastos dicolorus"	-44.61104	-22.444906
"137"	"Ramphastos dicolorus"	-44.61104	-22.444906
"138"	"Ramphastos dicolorus"	-44.61104	-22.444906
"139"	"Ramphastos dicolorus"	-44.61104	-22.444906
"140"	"Ramphastos dicolorus"	-44.61104	-22.444906
"141"	"Ramphastos dicolorus"	-44.61104	-22.444906
"142"	"Ramphastos dicolorus"	-44.61104	-22.444906
"143"	"Ramphastos dicolorus"	-44.61104	-22.444906
"144"	"Ramphastos dicolorus"	-44.61104	-22.444906
"145"	"Ramphastos dicolorus"	-44.61104	-22.444906
"146"	"Ramphastos dicolorus"	-44.61104	-22.444906
"147"	"Ramphastos dicolorus"	-53.959457	-25.859821
"148"	"Ramphastos dicolorus"	-47.920082	-24.193283
"149"	"Ramphastos dicolorus"	-44.61104	-22.444906
"150"	"Ramphastos dicolorus"	-44.61104	-22.444906
"151"	"Ramphastos dicolorus"	-46.6422	-23.43104
"152"	"Ramphastos dicolorus"	-53.959457	-25.859821
"153"	"Ramphastos dicolorus"	-53.959457	-25.859821
"154"	"Ramphastos dicolorus"	-45.013073	-23.403711
"155"	"Ramphastos dicolorus"	-45.013073	-23.403711
"156"	"Ramphastos dicolorus"	-53.959457	-25.859821
"157"	"Ramphastos dicolorus"	-53.959457	-25.859821
"158"	"Ramphastos dicolorus"	-53.959457	-25.859821
"159"	"Ramphastos dicolorus"	-53.959457	-25.859821
"160"	"Ramphastos dicolorus"	-54.455452	-25.683304
"161"	"Ramphastos dicolorus"	-46.6422	-23.43104
"162"	"Ramphastos dicolorus"	-46.627403	-23.461784
"163"	"Ramphastos dicolorus"	-41.050224	-20.431427
"164"	"Ramphastos dicolorus"	-54.168785	-25.857317
"165"	"Ramphastos dicolorus"	-43.48842	-20.097742
"166"	"Ramphastos dicolorus"	-54.445904	-25.687586
"167"	"Ramphastos dicolorus"	-54.438286	-25.642454
"168"	"Ramphastos dicolorus"	-44.624233	-22.406586
"169"	"Ramphastos dicolorus"	-44.624233	-22.406586
"170"	"Ramphastos dicolorus"	-45.617573	-22.73164
"171"	"Ramphastos dicolorus"	-44.624233	-22.406586
"172"	"Ramphastos dicolorus"	-48.2985	-24.312246
"173"	"Ramphastos dicolorus"	-45.642	-22.6797
"174"	"Ramphastos dicolorus"	-44.624233	-22.406586
"175"	"Ramphastos dicolorus"	-44.624233	-22.406586
"176"	"Ramphastos dicolorus"	-48.2985	-24.312246
"177"	"Ramphastos dicolorus"	-44.624233	-22.406586
"178"	"Ramphastos dicolorus"	-45.064102	-23.397234
"179"	"Ramphastos dicolorus"	-45.642	-22.6797
"180"	"Ramphastos dicolorus"	-45.642	-22.6797
"181"	"Ramphastos dicolorus"	-48.2985	-24.312246
"182"	"Ramphastos dicolorus"	-46.6422	-23.43104
"183"	"Ramphastos dicolorus"	-46.495514	-20.250603
"184"	"Ramphastos dicolorus"	-48.2985	-24.312246
"185"	"Ramphastos dicolorus"	-44.756813	-22.373522
"186"	"Ramphastos dicolorus"	-44.624233	-22.406586
"187"	"Ramphastos dicolorus"	-48.964172	-26.260788
"188"	"Ramphastos dicolorus"	-45.617573	-22.73164
"189"	"Ramphastos dicolorus"	-44.624233	-22.406586
"190"	"Ramphastos dicolorus"	-45.481945	-22.689444
"191"	"Ramphastos dicolorus"	-44.54321	-22.982807
"192"	"Ramphastos dicolorus"	-44.624233	-22.406586
"193"	"Ramphastos dicolorus"	-48.2985	-24.312246
"194"	"Ramphastos dicolorus"	-45.481945	-22.689444
"195"	"Ramphastos dicolorus"	-45.064102	-23.397234
"196"	"Ramphastos dicolorus"	-44.624233	-22.406586
"197"	"Ramphastos dicolorus"	-44.624233	-22.406586
"198"	"Ramphastos dicolorus"	-44.624233	-22.406586
"199"	"Ramphastos dicolorus"	-44.624233	-22.406586
"200"	"Ramphastos dicolorus"	-45.133385	-23.351244
"201"	"Ramphastos dicolorus"	-45.279465	-23.317667
"202"	"Ramphastos dicolorus"	-45.642	-22.6797
"203"	"Ramphastos dicolorus"	-41.00853	-20.665554
"204"	"Ramphastos dicolorus"	-45.642	-22.6797
"205"	"Ramphastos dicolorus"	-45.58279	-22.70482
"206"	"Ramphastos dicolorus"	-45.07139	-23.394444
"207"	"Ramphastos dicolorus"	-46.6422	-23.43104
"208"	"Ramphastos dicolorus"	-44.624233	-22.406586
"209"	"Ramphastos dicolorus"	-45.169296	-23.469725
"210"	"Ramphastos dicolorus"	-48.2985	-24.312246
"211"	"Ramphastos dicolorus"	-54.455452	-25.683304
"212"	"Ramphastos dicolorus"	-43.48842	-20.097742
"213"	"Ramphastos dicolorus"	-45.304356	-23.562334
"214"	"Ramphastos dicolorus"	-45.642	-22.6797
"215"	"Ramphastos dicolorus"	-44.624233	-22.406586
"216"	"Ramphastos dicolorus"	-45.05881	-23.39938
"217"	"Ramphastos dicolorus"	-45.642	-22.6797
"218"	"Ramphastos dicolorus"	-48.2985	-24.312246
"219"	"Ramphastos dicolorus"	-48.2985	-24.312246
"220"	"Ramphastos dicolorus"	-48.2985	-24.312246
